config_name,model_type,threshold,rep,seed,n_train,exposure_train,claims_train,base_rate,params,train_poisson_deviance,test_poisson_deviance,epochs_trained
transformer_multicls_small,transformer_multicls,0.5,3,3,305531,161343.9375,11921.0,0.073885639489863,14169,0.2387400805837122,0.2410274752548609,28
transformer_multicls_ssl_small,transformer_multicls_ssl,0.5,1,1,305531,161343.9375,11921.0,0.073885639489863,14385,0.2392425601041039,0.2411335088451831,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.5,2,2,305531,161343.9375,11921.0,0.073885639489863,14385,0.2388430444397389,0.2412444090001704,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.5,3,3,305531,161343.9375,11921.0,0.073885639489863,14385,0.2383535932855436,0.2412316764037994,30
ffn_small,ffn,0.75,1,1,458099,241740.15625,17878.0,0.0739554415672303,1317,0.2390325644228339,0.2405011416490735,30
ffn_small,ffn,0.75,2,2,458099,241740.15625,17878.0,0.0739554415672303,1317,0.2388632245597834,0.2403777026446921,30
ffn_small,ffn,0.75,3,3,458099,241740.15625,17878.0,0.0739554415672303,1317,0.2396966145738852,0.2406941967157291,26
glm,glm,0.75,1,1,458099,241740.15625,17878.0,0.0739554415672303,110,0.2412868652539793,0.2416941657014868,30
glm,glm,0.75,2,2,458099,241740.15625,17878.0,0.0739554415672303,110,0.2412671139256257,0.2416245347644037,30
glm,glm,0.75,3,3,458099,241740.15625,17878.0,0.0739554415672303,110,0.2412637497418322,0.2417017156750926,24
tabm_mini_small,tabm_mini,0.75,1,1,458099,241740.15625,17878.0,0.0739554415672303,14376,0.2390054780152144,0.239934428734073,28
tabm_mini_small,tabm_mini,0.75,2,2,458099,241740.15625,17878.0,0.0739554415672303,14376,0.2386307242457181,0.2403150581277865,29
tabm_mini_small,tabm_mini,0.75,3,3,458099,241740.15625,17878.0,0.0739554415672303,14376,0.2393881519306313,0.2405793424846336,27
transformer_multicls_small,transformer_multicls,0.75,1,1,458099,241740.15625,17878.0,0.0739554415672303,14169,0.2398956435126068,0.2407558967107899,27
transformer_multicls_small,transformer_multicls,0.75,2,2,458099,241740.15625,17878.0,0.0739554415672303,14169,0.2377865255143746,0.2414419672536673,30
transformer_multicls_small,transformer_multicls,0.75,3,3,458099,241740.15625,17878.0,0.0739554415672303,14169,0.2397964900328444,0.2405441634366367,26
transformer_multicls_ssl_small,transformer_multicls_ssl,0.75,1,1,458099,241740.15625,17878.0,0.0739554415672303,14385,0.2393179996267143,0.2404556802655927,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.75,2,2,458099,241740.15625,17878.0,0.0739554415672303,14385,0.2395192939636554,0.2406961181212047,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.75,3,3,458099,241740.15625,17878.0,0.0739554415672303,14385,0.2396565908445985,0.2409336208711083,30
ffn_small,ffn,1.0,1,1,610206,322392.25,23738.0,0.0736308022292719,1317,0.2391190254353963,0.2402668909066581,26
ffn_small,ffn,1.0,2,2,610206,322392.25,23738.0,0.0736308022292719,1317,0.2386768947473786,0.24016310385548,30
ffn_small,ffn,1.0,3,3,610206,322392.25,23738.0,0.0736308022292719,1317,0.2394000732718992,0.2402380476477632,26
glm,glm,1.0,1,1,610206,322392.25,23738.0,0.0736308022292719,110,0.2408723702121185,0.2416280725950896,22
glm,glm,1.0,2,2,610206,322392.25,23738.0,0.0736308022292719,110,0.2409379832222372,0.2415915276002263,30
glm,glm,1.0,3,3,610206,322392.25,23738.0,0.0736308022292719,110,0.2409288068350482,0.2414153235236615,30
tabm_mini_small,tabm_mini,1.0,1,1,610206,322392.25,23738.0,0.0736308022292719,14376,0.238417180505273,0.2401679719608652,29
tabm_mini_small,tabm_mini,1.0,2,2,610206,322392.25,23738.0,0.0736308022292719,14376,0.2383634565944707,0.2399304503445124,29
tabm_mini_small,tabm_mini,1.0,3,3,610206,322392.25,23738.0,0.0736308022292719,14376,0.2395523984225579,0.240142594817474,24
transformer_multicls_small,transformer_multicls,1.0,1,1,610206,322392.25,23738.0,0.0736308022292719,14169,0.2386772970699789,0.2409233201299964,30
transformer_multicls_small,transformer_multicls,1.0,2,2,610206,322392.25,23738.0,0.0736308022292719,14169,0.2393275750165702,0.2405659508990726,26
transformer_multicls_small,transformer_multicls,1.0,3,3,610206,322392.25,23738.0,0.0736308022292719,14169,0.2395212688104236,0.2403301823865422,25
transformer_multicls_ssl_small,transformer_multicls_ssl,1.0,1,1,610206,322392.25,23738.0,0.0736308022292719,14385,0.2392841455632343,0.240389759324294,30
transformer_multicls_ssl_small,transformer_multicls_ssl,1.0,2,2,610206,322392.25,23738.0,0.0736308022292719,14385,0.2388542863250178,0.2405094381123557,30
transformer_multicls_ssl_small,transformer_multicls_ssl,1.0,3,3,610206,322392.25,23738.0,0.0736308022292719,14385,0.2395066218616445,0.2401676389785293,29
